state,year,crime,rate,year_one,year_two
Maine,2016,LAT,1286.80,1962.20,1769.30
Maine,2015,MVT,61.20,1962.20,1769.30
Maine,2016,MVT,58.20,1962.20,1769.30
Massachusetts,2015,MNM,1.90,2078.30,1938.10
Massachusetts,2016,MNM,2.00,2078.30,1938.10
Massachusetts,2015,RRD,30.70,2078.30,1938.10
Massachusetts,2016,RRD,31.20,2078.30,1938.10
Massachusetts,2015,ROB,77.60,2078.30,1938.10
Massachusetts,2016,ROB,78.80,2078.30,1938.10
Massachusetts,2015,AGA,279.70,2078.30,1938.10
Massachusetts,2016,AGA,265.00,2078.30,1938.10
Massachusetts,2015,BUR,321.70,2078.30,1938.10
Massachusetts,2016,BUR,281.80,2078.30,1938.10
Massachusetts,2015,LAT,1248.10,2078.30,1938.10
Massachusetts,2016,LAT,1161.00,2078.30,1938.10
Massachusetts,2015,MVT,118.60,2078.30,1938.10
Massachusetts,2016,MVT,118.30,2078.30,1938.10
New Hampshire,2015,MNM,1.10,1965.60,1710.60
New Hampshire,2016,MNM,1.30,1965.60,1710.60
New Hampshire,2015,RRD,48.40,1965.60,1710.60
New Hampshire,2016,RRD,43.60,1965.60,1710.60
New Hampshire,2015,ROB,35.70,1965.60,1710.60
New Hampshire,2016,ROB,32.00,1965.60,1710.60
New Hampshire,2015,AGA,117.10,1965.60,1710.60
New Hampshire,2016,AGA,120.70,1965.60,1710.60
New Hampshire,2015,BUR,261.80,1965.60,1710.60
New Hampshire,2016,BUR,222.00,1965.60,1710.60
New Hampshire,2015,LAT,1434.20,1965.60,1710.60
New Hampshire,2016,LAT,1225.70,1965.60,1710.60
New Hampshire,2015,MVT,67.30,1965.60,1710.60
New Hampshire,2016,MVT,65.30,1965.60,1710.60
Rhode Island,2015,MNM,2.90,2141.20,2137.50
Rhode Island,2016,MNM,2.70,2141.20,2137.50
Rhode Island,2015,RRD,44.20,2141.20,2137.50
Rhode Island,2016,RRD,41.80,2141.20,2137.50
Rhode Island,2015,ROB,51.80,2141.20,2137.50
Rhode Island,2016,ROB,51.10,2141.20,2137.50
Rhode Island,2015,AGA,144.00,2141.20,2137.50
Rhode Island,2016,AGA,143.20,2141.20,2137.50
Rhode Island,2015,BUR,373.10,2141.20,2137.50
Rhode Island,2016,BUR,358.60,2141.20,2137.50
Rhode Island,2015,LAT,1393.90,2141.20,2137.50
Rhode Island,2016,LAT,1389.00,2141.20,2137.50
Rhode Island,2015,MVT,131.30,2141.20,2137.50
Rhode Island,2016,MVT,151.10,2141.20,2137.50
Vermont,2015,MNM,1.60,1567.10,1855.70
Vermont,2016,MNM,2.20,1567.10,1855.70
Vermont,2015,RRD,24.00,1567.10,1855.70
Vermont,2016,RRD,28.50,1567.10,1855.70
Vermont,2015,ROB,16.80,1567.10,1855.70
Vermont,2016,ROB,17.00,1567.10,1855.70
Vermont,2015,AGA,77.00,1567.10,1855.70
Vermont,2016,AGA,110.60,1567.10,1855.70
Vermont,2015,BUR,324.90,1567.10,1855.70
Vermont,2016,BUR,336.70,1567.10,1855.70
Vermont,2015,LAT,1091.50,1567.10,1855.70
Vermont,2016,LAT,1315.60,1567.10,1855.70
Vermont,2015,MVT,31.30,1567.10,1855.70
Vermont,2016,MVT,45.10,1567.10,1855.70
New Jersey,2015,MNM,4.10,1886.70,1789.50
New Jersey,2016,MNM,4.20,1886.70,1789.50
New Jersey,2015,RRD,15.40,1886.70,1789.50
New Jersey,2016,RRD,16.20,1886.70,1789.50
New Jersey,2015,ROB,108.90,1886.70,1789.50
New Jersey,2016,ROB,100.40,1886.70,1789.50
New Jersey,2015,AGA,127.70,1886.70,1789.50
New Jersey,2016,AGA,124.20,1886.70,1789.50
New Jersey,2015,BUR,312.90,1886.70,1789.50
New Jersey,2016,BUR,282.70,1886.70,1789.50
New Jersey,2015,LAT,1185.90,1886.70,1789.50
New Jersey,2016,LAT,1135.20,1886.70,1789.50
New Jersey,2015,MVT,131.80,1886.70,1789.50
New Jersey,2016,MVT,126.60,1886.70,1789.50
New York,2015,MNM,3.10,1986.80,1921.80
New York,2016,MNM,3.20,1986.80,1921.80
New York,2015,RRD,31.10,1986.80,1921.80
New York,2016,RRD,31.70,1986.80,1921.80
New York,2015,ROB,120.90,1986.80,1921.80
New York,2016,ROB,113.00,1986.80,1921.80
New York,2015,AGA,225.30,1986.80,1921.80
New York,2016,AGA,228.30,1986.80,1921.80
New York,2015,BUR,223.40,1986.80,1921.80
New York,2016,BUR,201.70,1986.80,1921.80
New York,2015,LAT,1305.70,1986.80,1921.80
New York,2016,LAT,1271.00,1986.80,1921.80
New York,2015,MVT,77.30,1986.80,1921.80
New York,2016,MVT,72.90,1986.80,1921.80
Pennsylvania,2015,MNM,5.20,2128.70,2059.10
Pennsylvania,2016,MNM,5.20,2128.70,2059.10
Pennsylvania,2015,RRD,33.60,2128.70,2059.10
Pennsylvania,2016,RRD,34.70,2128.70,2059.10
Pennsylvania,2015,ROB,101.40,2128.70,2059.10
Pennsylvania,2016,ROB,96.40,2128.70,2059.10
Pennsylvania,2015,AGA,175.30,2128.70,2059.10
Pennsylvania,2016,AGA,180.10,2128.70,2059.10
Pennsylvania,2015,BUR,309.40,2128.70,2059.10
Pennsylvania,2016,BUR,277.80,2128.70,2059.10
Pennsylvania,2015,LAT,1409.00,2128.70,2059.10
Pennsylvania,2016,LAT,1362.80,2128.70,2059.10
Pennsylvania,2015,MVT,94.80,2128.70,2059.10
Pennsylvania,2016,MVT,102.10,2128.70,2059.10
Illinois,2015,MNM,5.90,2389.00,2485.30
Illinois,2016,MNM,8.20,2389.00,2485.30
Illinois,2015,RRD,38.40,2389.00,2485.30
Illinois,2016,RRD,38.30,2389.00,2485.30
Illinois,2015,ROB,117.30,2389.00,2485.30
Illinois,2016,ROB,139.30,2389.00,2485.30
Illinois,2015,AGA,226.00,2389.00,2485.30
Illinois,2016,AGA,250.50,2389.00,2485.30
Illinois,2015,BUR,364.90,2389.00,2485.30
Illinois,2016,BUR,374.90,2389.00,2485.30
Illinois,2015,LAT,1498.70,2389.00,2485.30
Illinois,2016,LAT,1518.60,2389.00,2485.30
Illinois,2015,MVT,137.80,2389.00,2485.30
Illinois,2016,MVT,155.50,2389.00,2485.30
Indiana,2015,MNM,5.60,2983.00,2994.10
Indiana,2016,MNM,6.60,2983.00,2994.10
Indiana,2015,RRD,36.10,2983.00,2994.10
Indiana,2016,RRD,37.70,2983.00,2994.10
Indiana,2015,ROB,107.10,2983.00,2994.10
Indiana,2016,ROB,110.50,2983.00,2994.10
Indiana,2015,AGA,234.90,2983.00,2994.10
Indiana,2016,AGA,249.90,2983.00,2994.10
Indiana,2015,BUR,520.30,2983.00,2994.10
Indiana,2016,BUR,514.00,2983.00,2994.10
Indiana,2015,LAT,1874.30,2983.00,2994.10
Indiana,2016,LAT,1853.30,2983.00,2994.10
Indiana,2015,MVT,204.70,2983.00,2994.10
Indiana,2016,MVT,222.10,2983.00,2994.10
Michigan,2015,MNM,5.90,2348.30,2368.80
Michigan,2016,MNM,6.00,2348.30,2368.80
Michigan,2015,RRD,67.70,2348.30,2368.80
Michigan,2016,RRD,71.80,2348.30,2368.80
Michigan,2015,ROB,78.80,2348.30,2368.80
Michigan,2016,ROB,71.70,2348.30,2368.80
Michigan,2015,AGA,268.20,2348.30,2368.80
Michigan,2016,AGA,309.50,2348.30,2368.80
Michigan,2015,BUR,407.10,2348.30,2368.80
Michigan,2016,BUR,398.50,2348.30,2368.80
Michigan,2015,LAT,1331.10,2348.30,2368.80
Michigan,2016,LAT,1308.10,2348.30,2368.80
Michigan,2015,MVT,189.50,2348.30,2368.80
Michigan,2016,MVT,203.20,2348.30,2368.80
Ohio,2015,MNM,4.50,2913.50,2877.70
Ohio,2016,MNM,5.60,2913.50,2877.70
Ohio,2015,RRD,46.90,2913.50,2877.70
Ohio,2016,RRD,48.10,2913.50,2877.70
Ohio,2015,ROB,108.70,2913.50,2877.70
Ohio,2016,ROB,107.80,2913.50,2877.70
Ohio,2015,AGA,136.10,2913.50,2877.70
Ohio,2016,AGA,138.70,2913.50,2877.70
Ohio,2015,BUR,603.10,2913.50,2877.70
Ohio,2016,BUR,575.90,2913.50,2877.70
Ohio,2015,LAT,1864.30,2913.50,2877.70
Ohio,2016,LAT,1832.30,2913.50,2877.70
Ohio,2015,MVT,149.90,2913.50,2877.70
Ohio,2016,MVT,169.30,2913.50,2877.70
Wisconsin,2015,MNM,4.20,2283.70,2239.10
Wisconsin,2016,MNM,4.00,2283.70,2239.10
Wisconsin,2015,RRD,31.30,2283.70,2239.10
Wisconsin,2016,RRD,34.20,2283.70,2239.10
Wisconsin,2015,ROB,90.70,2283.70,2239.10
Wisconsin,2016,ROB,81.40,2283.70,2239.10
Wisconsin,2015,AGA,178.10,2283.70,2239.10
Wisconsin,2016,AGA,186.30,2283.70,2239.10
Wisconsin,2015,BUR,339.80,2283.70,2239.10
Wisconsin,2016,BUR,336.10,2283.70,2239.10
Wisconsin,2015,LAT,1448.90,2283.70,2239.10
Wisconsin,2016,LAT,1424.80,2283.70,2239.10
Wisconsin,2015,MVT,190.70,2283.70,2239.10
Wisconsin,2016,MVT,172.30,2283.70,2239.10
Iowa,2015,MNM,2.30,2348.00,2376.80
Iowa,2016,MNM,2.30,2348.00,2376.80
Iowa,2015,RRD,38.60,2348.00,2376.80
Iowa,2016,RRD,39.80,2348.00,2376.80
Iowa,2015,ROB,33.60,2348.00,2376.80
Iowa,2016,ROB,36.60,2348.00,2376.80
Iowa,2015,AGA,201.50,2348.00,2376.80
Iowa,2016,AGA,212.00,2348.00,2376.80
Iowa,2015,BUR,479.70,2348.00,2376.80
Iowa,2016,BUR,479.50,2348.00,2376.80
Iowa,2015,LAT,1451.90,2348.00,2376.80
Iowa,2016,LAT,1447.60,2348.00,2376.80
Iowa,2015,MVT,140.40,2348.00,2376.80
Iowa,2016,MVT,159.00,2348.00,2376.80
Kansas,2015,MNM,4.30,3149.20,3076.00
Kansas,2016,MNM,3.80,3149.20,3076.00
Kansas,2015,RRD,57.90,3149.20,3076.00
Kansas,2016,RRD,45.10,3149.20,3076.00
Kansas,2015,ROB,62.70,3149.20,3076.00
Kansas,2016,ROB,57.50,3149.20,3076.00
Kansas,2015,AGA,270.10,3149.20,3076.00
Kansas,2016,AGA,274.00,3149.20,3076.00
Kansas,2015,BUR,537.30,3149.20,3076.00
Kansas,2016,BUR,494.10,3149.20,3076.00
Kansas,2015,LAT,1975.90,3149.20,3076.00
Kansas,2016,LAT,1962.90,3149.20,3076.00
Kansas,2015,MVT,241.00,3149.20,3076.00
Kansas,2016,MVT,238.60,3149.20,3076.00
Minnesota,2015,MNM,2.40,2467.90,2375.80
Minnesota,2016,MNM,1.80,2467.90,2375.80
Minnesota,2015,RRD,42.30,2467.90,2375.80
Minnesota,2016,RRD,42.50,2467.90,2375.80
Minnesota,2015,ROB,68.80,2467.90,2375.80
Minnesota,2016,ROB,67.50,2467.90,2375.80
Minnesota,2015,AGA,129.40,2467.90,2375.80
Minnesota,2016,AGA,130.70,2467.90,2375.80
Minnesota,2015,BUR,352.00,2467.90,2375.80
Minnesota,2016,BUR,337.10,2467.90,2375.80
Minnesota,2015,LAT,1727.40,2467.90,2375.80
Minnesota,2016,LAT,1638.10,2467.90,2375.80
Minnesota,2015,MVT,145.60,2467.90,2375.80
Minnesota,2016,MVT,158.10,2467.90,2375.80
Missouri,2015,MNM,8.30,3358.60,3318.40
Missouri,2016,MNM,8.80,3358.60,3318.40
Missouri,2015,RRD,42.30,3358.60,3318.40
Missouri,2016,RRD,41.90,3358.60,3318.40
Missouri,2015,ROB,105.00,3358.60,3318.40
Missouri,2016,ROB,107.80,3358.60,3318.40
Missouri,2015,AGA,342.90,3358.60,3318.40
Missouri,2016,AGA,360.80,3358.60,3318.40
Missouri,2015,BUR,560.00,3358.60,3318.40
Missouri,2016,BUR,520.40,3358.60,3318.40
Missouri,2015,LAT,2020.20,3358.60,3318.40
Missouri,2016,LAT,1978.40,3358.60,3318.40
Missouri,2015,MVT,279.90,3358.60,3318.40
Missouri,2016,MVT,300.30,3358.60,3318.40
Nebraska,2015,MNM,3.30,2522.10,2554.30
Nebraska,2016,MNM,2.60,2522.10,2554.30
Nebraska,2015,RRD,46.70,2522.10,2554.30
Nebraska,2016,RRD,52.10,2522.10,2554.30
Nebraska,2015,ROB,52.50,2522.10,2554.30
Nebraska,2016,ROB,49.60,2522.10,2554.30
Nebraska,2015,AGA,170.30,2522.10,2554.30
Nebraska,2016,AGA,186.70,2522.10,2554.30
Nebraska,2015,BUR,340.20,2522.10,2554.30
Nebraska,2016,BUR,337.90,2522.10,2554.30
Nebraska,2015,LAT,1697.60,2522.10,2554.30
Nebraska,2016,LAT,1677.60,2522.10,2554.30
Nebraska,2015,MVT,211.50,2522.10,2554.30
Nebraska,2016,MVT,247.80,2522.10,2554.30
North Dakota,2015,MNM,2.80,2598.40,2547.00
North Dakota,2016,MNM,2.00,2598.40,2547.00
North Dakota,2015,RRD,51.70,2598.40,2547.00
North Dakota,2016,RRD,45.10,2598.40,2547.00
North Dakota,2015,ROB,21.00,2598.40,2547.00
North Dakota,2016,ROB,23.90,2598.40,2547.00
North Dakota,2015,AGA,182.10,2598.40,2547.00
North Dakota,2016,AGA,180.10,2598.40,2547.00
North Dakota,2015,BUR,435.50,2598.40,2547.00
North Dakota,2016,BUR,427.90,2598.40,2547.00
North Dakota,2015,LAT,1676.20,2598.40,2547.00
North Dakota,2016,LAT,1608.90,2598.40,2547.00
North Dakota,2015,MVT,229.10,2598.40,2547.00
North Dakota,2016,MVT,259.10,2598.40,2547.00
South Dakota,2015,MNM,3.80,2336.10,2398.90
South Dakota,2016,MNM,3.10,2336.10,2398.90
South Dakota,2015,RRD,58.30,2336.10,2398.90
South Dakota,2016,RRD,58.80,2336.10,2398.90
South Dakota,2015,ROB,25.10,2336.10,2398.90
South Dakota,2016,ROB,31.40,2336.10,2398.90
South Dakota,2015,AGA,297.70,2336.10,2398.90
South Dakota,2016,AGA,325.00,2336.10,2398.90
South Dakota,2015,BUR,346.10,2336.10,2398.90
South Dakota,2016,BUR,346.60,2336.10,2398.90
South Dakota,2015,LAT,1465.90,2336.10,2398.90
South Dakota,2016,LAT,1460.40,2336.10,2398.90
South Dakota,2015,MVT,139.20,2336.10,2398.90
South Dakota,2016,MVT,173.60,2336.10,2398.90
Delaware,2015,MNM,6.60,3209.90,3274.80
Delaware,2016,MNM,5.90,3209.90,3274.80
Delaware,2015,RRD,38.20,3209.90,3274.80
Delaware,2016,RRD,32.40,3209.90,3274.80
Delaware,2015,ROB,131.30,3209.90,3274.80
Delaware,2016,ROB,142.70,3209.90,3274.80
Delaware,2015,AGA,328.00,3209.90,3274.80
Delaware,2016,AGA,327.80,3209.90,3274.80
Delaware,2015,BUR,508.10,3209.90,3274.80
Delaware,2016,BUR,527.60,3209.90,3274.80
Delaware,2015,LAT,2071.30,3209.90,3274.80
Delaware,2016,LAT,2078.70,3209.90,3274.80
Delaware,2015,MVT,126.40,3209.90,3274.80
Delaware,2016,MVT,159.70,3209.90,3274.80
Florida,2015,MNM,5.10,3279.20,3117.20
Florida,2016,MNM,5.40,3279.20,3117.20
Florida,2015,RRD,37.30,3279.20,3117.20
Florida,2016,RRD,36.90,3279.20,3117.20
Florida,2015,ROB,104.40,3279.20,3117.20
Florida,2016,ROB,97.90,3279.20,3117.20
Florida,2015,AGA,315.60,3279.20,3117.20
Florida,2016,AGA,290.20,3279.20,3117.20
Florida,2015,BUR,539.70,3279.20,3117.20
Florida,2016,BUR,486.70,3279.20,3117.20
Florida,2015,LAT,2076.30,3279.20,3117.20
Florida,2016,LAT,1990.80,3279.20,3117.20
Florida,2015,MVT,200.80,3279.20,3117.20
Florida,2016,MVT,209.30,3279.20,3117.20
Georgia,2015,MNM,6.10,3479.70,3401.90
Georgia,2016,MNM,6.60,3479.70,3401.90
Georgia,2015,RRD,31.90,3479.70,3401.90
Georgia,2016,RRD,34.00,3479.70,3401.90
Georgia,2015,ROB,123.00,3479.70,3401.90
Georgia,2016,ROB,118.40,3479.70,3401.90
Georgia,2015,AGA,220.30,3479.70,3401.90
Georgia,2016,AGA,238.50,3479.70,3401.90
Georgia,2015,BUR,668.20,3479.70,3401.90
Georgia,2016,BUR,614.40,3479.70,3401.90
Georgia,2015,LAT,2164.00,3479.70,3401.90
Georgia,2016,LAT,2130.10,3479.70,3401.90
Georgia,2015,MVT,266.20,3479.70,3401.90
Georgia,2016,MVT,259.90,3479.70,3401.90
Maryland,2015,MNM,9.00,2848.00,2756.50
Maryland,2016,MNM,8.00,2848.00,2756.50
Maryland,2015,RRD,28.60,2848.00,2756.50
Maryland,2016,RRD,29.20,2848.00,2756.50
Maryland,2015,ROB,168.70,2848.00,2756.50
Maryland,2016,ROB,171.00,2848.00,2756.50
Maryland,2015,AGA,263.90,2848.00,2756.50
Maryland,2016,AGA,263.80,2848.00,2756.50
Maryland,2015,BUR,440.90,2848.00,2756.50
Maryland,2016,BUR,410.40,2848.00,2756.50
Maryland,2015,LAT,1713.10,2848.00,2756.50
Maryland,2016,LAT,1677.40,2848.00,2756.50
Maryland,2015,MVT,223.80,2848.00,2756.50
Maryland,2016,MVT,196.70,2848.00,2756.50
North Carolina,2015,MNM,5.20,3095.70,3109.70
North Carolina,2016,MNM,6.70,3095.70,3109.70
North Carolina,2015,RRD,25.80,3095.70,3109.70
North Carolina,2016,RRD,28.10,3095.70,3109.70
North Carolina,2015,ROB,87.90,3095.70,3109.70
North Carolina,2016,ROB,92.00,3095.70,3109.70
North Carolina,2015,AGA,227.30,3095.70,3109.70
North Carolina,2016,AGA,245.50,3095.70,3109.70
North Carolina,2015,BUR,745.00,3095.70,3109.70
North Carolina,2016,BUR,710.40,3095.70,3109.70
North Carolina,2015,LAT,1870.70,3095.70,3109.70
North Carolina,2016,LAT,1876.20,3095.70,3109.70
North Carolina,2015,MVT,133.80,3095.70,3109.70
North Carolina,2016,MVT,150.80,3095.70,3109.70
South Carolina,2015,MNM,8.30,3826.00,3745.60
South Carolina,2016,MNM,7.40,3826.00,3745.60
South Carolina,2015,RRD,49.80,3826.00,3745.60
South Carolina,2016,RRD,48.10,3826.00,3745.60
South Carolina,2015,ROB,80.70,3826.00,3745.60
South Carolina,2016,ROB,81.30,3826.00,3745.60
South Carolina,2015,AGA,360.60,3826.00,3745.60
South Carolina,2016,AGA,365.00,3826.00,3745.60
South Carolina,2015,BUR,713.90,3826.00,3745.60
South Carolina,2016,BUR,664.70,3826.00,3745.60
South Carolina,2015,LAT,2344.90,3826.00,3745.60
South Carolina,2016,LAT,2298.50,3826.00,3745.60
South Carolina,2015,MVT,267.80,3826.00,3745.60
South Carolina,2016,MVT,280.60,3826.00,3745.60
Virginia,2015,MNM,4.70,2085.60,2077.10
Virginia,2016,MNM,5.80,2085.60,2077.10
Virginia,2015,RRD,29.90,2085.60,2077.10
Virginia,2016,RRD,32.50,2085.60,2077.10
Virginia,2015,ROB,53.30,2085.60,2077.10
Virginia,2016,ROB,57.10,2085.60,2077.10
Virginia,2015,AGA,111.80,2085.60,2077.10
Virginia,2016,AGA,122.20,2085.60,2077.10
Virginia,2015,BUR,257.40,2085.60,2077.10
Virginia,2016,BUR,238.00,2085.60,2077.10
Virginia,2015,LAT,1530.50,2085.60,2077.10
Virginia,2016,LAT,1505.10,2085.60,2077.10
Virginia,2015,MVT,98.00,2085.60,2077.10
Virginia,2016,MVT,116.40,2085.60,2077.10
West Virginia,2015,MNM,4.60,2449.20,2405.30
West Virginia,2016,MNM,4.40,2449.20,2405.30
West Virginia,2015,RRD,38.60,2449.20,2405.30
West Virginia,2016,RRD,35.90,2449.20,2405.30
West Virginia,2015,ROB,42.50,2449.20,2405.30
West Virginia,2016,ROB,39.30,2449.20,2405.30
West Virginia,2015,AGA,261.80,2449.20,2405.30
West Virginia,2016,AGA,278.50,2449.20,2405.30
West Virginia,2015,BUR,514.20,2449.20,2405.30
West Virginia,2016,BUR,507.90,2449.20,2405.30
West Virginia,2015,LAT,1465.70,2449.20,2405.30
West Virginia,2016,LAT,1402.30,2449.20,2405.30
West Virginia,2015,MVT,121.80,2449.20,2405.30
West Virginia,2016,MVT,137.00,2449.20,2405.30
Alabama,2015,MNM,7.20,3455.90,3480.30
Alabama,2016,MNM,8.40,3455.90,3480.30
Alabama,2015,RRD,42.00,3455.90,3480.30
Alabama,2016,RRD,39.40,3455.90,3480.30
Alabama,2015,ROB,95.00,3455.90,3480.30
Alabama,2016,ROB,96.40,3455.90,3480.30
Alabama,2015,AGA,328.80,3455.90,3480.30
Alabama,2016,AGA,388.20,3455.90,3480.30
Alabama,2015,BUR,726.50,3455.90,3480.30
Alabama,2016,BUR,700.50,3455.90,3480.30
Alabama,2015,LAT,2043.40,3455.90,3480.30
Alabama,2016,LAT,2006.30,3455.90,3480.30
Alabama,2015,MVT,213.00,3455.90,3480.30
Alabama,2016,MVT,241.10,3455.90,3480.30
Kentucky,2015,MNM,4.90,2428.10,2422.10
Kentucky,2016,MNM,5.90,2428.10,2422.10
Kentucky,2015,RRD,37.20,2428.10,2422.10
Kentucky,2016,RRD,37.00,2428.10,2422.10
Kentucky,2015,ROB,74.90,2428.10,2422.10
Kentucky,2016,ROB,75.90,2428.10,2422.10
Kentucky,2015,AGA,106.50,2428.10,2422.10
Kentucky,2016,AGA,113.50,2428.10,2422.10
Kentucky,2015,BUR,509.10,2428.10,2422.10
Kentucky,2016,BUR,469.60,2428.10,2422.10
Kentucky,2015,LAT,1517.50,2428.10,2422.10
Kentucky,2016,LAT,1497.40,2428.10,2422.10
Kentucky,2015,MVT,178.00,2428.10,2422.10
Kentucky,2016,MVT,222.80,2428.10,2422.10
Mississippi,2015,MNM,8.50,3143.60,3048.70
Mississippi,2016,MNM,8.00,3143.60,3048.70
Mississippi,2015,RRD,38.70,3143.60,3048.70
Mississippi,2016,RRD,42.70,3143.60,3048.70
Mississippi,2015,ROB,77.30,3143.60,3048.70
Mississippi,2016,ROB,80.20,3143.60,3048.70
Mississippi,2015,AGA,149.40,3143.60,3048.70
Mississippi,2016,AGA,149.60,3143.60,3048.70
Mississippi,2015,BUR,838.60,3143.60,3048.70
Mississippi,2016,BUR,781.40,3143.60,3048.70
Mississippi,2015,LAT,1888.20,3143.60,3048.70
Mississippi,2016,LAT,1842.10,3143.60,3048.70
Mississippi,2015,MVT,142.90,3143.60,3048.70
Mississippi,2016,MVT,144.70,3143.60,3048.70
Tennessee,2015,MNM,6.30,3591.50,3487.00
Tennessee,2016,MNM,7.30,3591.50,3487.00
Tennessee,2015,RRD,42.50,3591.50,3487.00
Tennessee,2016,RRD,40.80,3591.50,3487.00
Tennessee,2015,ROB,113.70,3591.50,3487.00
Tennessee,2016,ROB,117.50,3591.50,3487.00
Tennessee,2015,AGA,456.40,3591.50,3487.00
Tennessee,2016,AGA,467.30,3591.50,3487.00
Tennessee,2015,BUR,663.40,3591.50,3487.00
Tennessee,2016,BUR,606.10,3591.50,3487.00
Tennessee,2015,LAT,2111.60,3591.50,3487.00
Tennessee,2016,LAT,2020.70,3591.50,3487.00
Tennessee,2015,MVT,197.60,3591.50,3487.00
Tennessee,2016,MVT,227.30,3591.50,3487.00
Arkansas,2015,MNM,6.30,3800.00,3819.30
Arkansas,2016,MNM,7.20,3800.00,3819.30
Arkansas,2015,RRD,67.40,3800.00,3819.30
Arkansas,2016,RRD,71.70,3800.00,3819.30
Arkansas,2015,ROB,71.10,3800.00,3819.30
Arkansas,2016,ROB,70.90,3800.00,3819.30
Arkansas,2015,AGA,384.70,3800.00,3819.30
Arkansas,2016,AGA,401.00,3800.00,3819.30
Arkansas,2015,BUR,767.40,3800.00,3819.30
Arkansas,2016,BUR,795.50,3800.00,3819.30
Arkansas,2015,LAT,2307.70,3800.00,3819.30
Arkansas,2016,LAT,2233.60,3800.00,3819.30
Arkansas,2015,MVT,195.40,3800.00,3819.30
Arkansas,2016,MVT,239.40,3800.00,3819.30
Louisiana,2015,MNM,10.50,3917.50,3863.70
Louisiana,2016,MNM,11.80,3917.50,3863.70
Louisiana,2015,RRD,37.10,3917.50,3863.70
Louisiana,2016,RRD,38.80,3917.50,3863.70
Louisiana,2015,ROB,119.10,3917.50,3863.70
Louisiana,2016,ROB,119.10,3917.50,3863.70
Louisiana,2015,AGA,373.00,3917.50,3863.70
Louisiana,2016,AGA,396.40,3917.50,3863.70
Louisiana,2015,BUR,759.40,3917.50,3863.70
Louisiana,2016,BUR,740.50,3917.50,3863.70
Louisiana,2015,LAT,2410.00,3917.50,3863.70
Louisiana,2016,LAT,2336.30,3917.50,3863.70
Louisiana,2015,MVT,208.40,3917.50,3863.70
Louisiana,2016,MVT,220.80,3917.50,3863.70
Oklahoma,2015,MNM,6.10,3347.40,3432.70
Oklahoma,2016,MNM,6.20,3347.40,3432.70
Oklahoma,2015,RRD,50.00,3347.40,3432.70
Oklahoma,2016,RRD,52.00,3347.40,3432.70
Oklahoma,2015,ROB,77.20,3347.40,3432.70
Oklahoma,2016,ROB,80.60,3347.40,3432.70
Oklahoma,2015,AGA,295.20,3347.40,3432.70
Oklahoma,2016,AGA,311.00,3347.40,3432.70
Oklahoma,2015,BUR,736.60,3347.40,3432.70
Oklahoma,2016,BUR,741.70,3347.40,3432.70
Oklahoma,2015,LAT,1911.20,3347.40,3432.70
Oklahoma,2016,LAT,1931.40,3347.40,3432.70
Oklahoma,2015,MVT,271.10,3347.40,3432.70
Oklahoma,2016,MVT,309.80,3347.40,3432.70
Texas,2015,MNM,4.80,3253.50,3194.20
Texas,2016,MNM,5.30,3253.50,3194.20
Texas,2015,RRD,44.90,3253.50,3194.20
Texas,2016,RRD,48.00,3253.50,3194.20
Texas,2015,ROB,116.40,3253.50,3194.20
